SYMBOL,COMPANY_NAME,SERIES,SOURCE
ABDL.NS,Allied Blenders and Distillers Limited,EQ,CACHED_NSE_ALL
ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,CACHED_NSE_ALL
ABINFRA.NS,A B Infrabuild Limited,EQ,CACHED_NSE_ALL
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,EQ,CACHED_NSE_ALL
ABMINTLLTD.NS,ABM International Limited,EQ,CACHED_NSE_ALL
ABMKNO.NS,ABM Knowledgeware Limited,EQ,CACHED_NSE_ALL
ABREL.NS,Aditya Birla Real Estate Limited,EQ,CACHED_NSE_ALL
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,CACHED_NSE_ALL
ACC.NS,ACC Limited,EQ,CACHED_NSE_ALL
ACCELYA.NS,Accelya Solutions India Limited,EQ,CACHED_NSE_ALL
ACCURACY.NS,Accuracy Shipping Limited,EQ,CACHED_NSE_ALL
ACE.NS,Action Construction Equipment Limited,EQ,CACHED_NSE_ALL
ACEINTEG.NS,Ace Integrated Solutions Limited,EQ,CACHED_NSE_ALL
ACI.NS,Archean Chemical Industries Limited,EQ,CACHED_NSE_ALL
ACL.NS,Andhra Cements Limited,EQ,CACHED_NSE_ALL
ACMESOLAR.NS,Acme Solar Holdings Limited,EQ,CACHED_NSE_ALL
ACSTECH.NS,ACS Technologies Limited,EQ,CACHED_NSE_ALL
ACUTAAS.NS,Acutaas Chemicals Limited,EQ,CACHED_NSE_ALL
ADANIENSOL.NS,Adani Energy Solutions Limited,EQ,CACHED_NSE_ALL
ADANIENT.NS,Adani Enterprises Limited,EQ,CACHED_NSE_ALL
ADANIGREEN.NS,Adani Green Energy Limited,EQ,CACHED_NSE_ALL
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,EQ,CACHED_NSE_ALL
ADANIPOWER.NS,Adani Power Limited,EQ,CACHED_NSE_ALL
ADFFOODS.NS,ADF Foods Limited,EQ,CACHED_NSE_ALL
ADL.NS,Archidply Decor Limited,EQ,CACHED_NSE_ALL
ADOR.NS,Ador Welding Limited,EQ,CACHED_NSE_ALL
ADROITINFO.NS,Adroit Infotech Limited,EQ,CACHED_NSE_ALL
ADSL.NS,Allied Digital Services Limited,EQ,CACHED_NSE_ALL
ADVAIT.NS,Advait Energy Transitions Limited,EQ,CACHED_NSE_ALL
ADVANCE.NS,Advance Agrolife Limited,EQ,CACHED_NSE_ALL
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,EQ,CACHED_NSE_ALL
ADVENTHTL.NS,Advent Hotels International Limited,EQ,CACHED_NSE_ALL
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,EQ,CACHED_NSE_ALL
AEGISLOG.NS,Aegis Logistics Limited,EQ,CACHED_NSE_ALL
AEGISVOPAK.NS,Aegis Vopak Terminals Limited,EQ,CACHED_NSE_ALL
AEPL.NS,Artemis Electricals and Projects Limited,EQ,CACHED_NSE_ALL
AEQUS.NS,Aequs Limited,EQ,CACHED_NSE_ALL
AEROENTER.NS,Aeroflex Enterprises Limited,EQ,CACHED_NSE_ALL
AEROFLEX.NS,Aeroflex Industries Limited,EQ,CACHED_NSE_ALL
AERONEU.NS,Aeroflex Neu Limited,EQ,CACHED_NSE_ALL
AETHER.NS,Aether Industries Limited,EQ,CACHED_NSE_ALL
AFCONS.NS,Afcons Infrastructure Limited,EQ,CACHED_NSE_ALL
AFFLE.NS,Affle 3i Limited,EQ,CACHED_NSE_ALL
AFFORDABLE.NS,Affordable Robotic & Automation Limited,BE,CACHED_NSE_ALL
AFIL.NS,Akme Fintrade (India) Limited,BE,CACHED_NSE_ALL
AFSL.NS,Abans Financial Services Limited,EQ,CACHED_NSE_ALL
AGARIND.NS,Agarwal Industrial Corporation Limited,EQ,CACHED_NSE_ALL
AGARWALEYE.NS,Dr. Agarwal's Health Care Limited,EQ,CACHED_NSE_ALL
AGI.NS,AGI Greenpac Limited,EQ,CACHED_NSE_ALL
AGIIL.NS,Agi Infra Limited,EQ,CACHED_NSE_ALL
AGRITECH.NS,Agri-Tech (India) Limited,BE,CACHED_NSE_ALL
AGROPHOS.NS,Agro Phos India Limited,EQ,CACHED_NSE_ALL
AHCL.NS,Anlon Healthcare Limited,EQ,CACHED_NSE_ALL
AHLADA.NS,Ahlada Engineers Limited,EQ,CACHED_NSE_ALL
AHLEAST.NS,Asian Hotels (East) Limited,EQ,CACHED_NSE_ALL
AHLUCONT.NS,Ahluwalia Contracts (India) Limited,EQ,CACHED_NSE_ALL
AHLWEST.NS,Asian Hotels (West) Limited,BE,CACHED_NSE_ALL
AIAENG.NS,AIA Engineering Limited,EQ,CACHED_NSE_ALL
AIIL.NS,Authum Investment & Infrastructure Limited,EQ,CACHED_NSE_ALL
AIRAN.NS,Airan Limited,EQ,CACHED_NSE_ALL
AIROLAM.NS,Airo Lam limited,EQ,CACHED_NSE_ALL
AJANTPHARM.NS,Ajanta Pharma Limited,EQ,CACHED_NSE_ALL
AJAXENGG.NS,Ajax Engineering Limited,EQ,CACHED_NSE_ALL
AJMERA.NS,Ajmera Realty & Infra India Limited,EQ,CACHED_NSE_ALL
AJOONI.NS,Ajooni Biotech Limited,EQ,CACHED_NSE_ALL
AKASH.NS,Akash Infra-Projects Limited,EQ,CACHED_NSE_ALL
AKCAPIT.NS,AK Capital Services Limited,EQ,CACHED_NSE_ALL
AKG.NS,Akg Exim Limited,EQ,CACHED_NSE_ALL
AKI.NS,AKI India Limited,EQ,CACHED_NSE_ALL
AKSHAR.NS,Akshar Spintex Limited,EQ,CACHED_NSE_ALL
AKSHARCHEM.NS,AksharChem India Limited,EQ,CACHED_NSE_ALL
AKSHOPTFBR.NS,Aksh Optifibre Limited,BE,CACHED_NSE_ALL
AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,EQ,CACHED_NSE_ALL
ALANKIT.NS,Alankit Limited,EQ,CACHED_NSE_ALL
ALBERTDAVD.NS,Albert David Limited,EQ,CACHED_NSE_ALL
ALEMBICLTD.NS,Alembic Limited,EQ,CACHED_NSE_ALL
ALGOQUANT.NS,Algoquant Fintech Limited,EQ,CACHED_NSE_ALL
ALICON.NS,Alicon Castalloy Limited,EQ,CACHED_NSE_ALL
ALIVUS.NS,Alivus Life Sciences Limited,EQ,CACHED_NSE_ALL
ALKALI.NS,Alkali Metals Limited,BE,CACHED_NSE_ALL
ALKEM.NS,Alkem Laboratories Limited,EQ,CACHED_NSE_ALL
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,EQ,CACHED_NSE_ALL
ALLCARGO.NS,Allcargo Logistics Limited,EQ,CACHED_NSE_ALL
ALLDIGI.NS,Alldigi Tech Limited,EQ,CACHED_NSE_ALL
ALLTIME.NS,All Time Plastics Limited,EQ,CACHED_NSE_ALL
ALMONDZ.NS,Almondz Global Securities Limited,EQ,CACHED_NSE_ALL
ALOKINDS.NS,Alok Industries Limited,EQ,CACHED_NSE_ALL
ALPA.NS,Alpa Laboratories Limited,EQ,CACHED_NSE_ALL
ALPHAGEO.NS,Alphageo (India) Limited,EQ,CACHED_NSE_ALL
AMAGI.NS,Amagi Media Labs Limited,EQ,CACHED_NSE_ALL
AMANTA.NS,Amanta Healthcare Limited,BE,CACHED_NSE_ALL
AMBALALSA.NS,Ambalal Sarabhai Enterprises Limited,EQ,CACHED_NSE_ALL
AMBER.NS,Amber Enterprises India Limited,EQ,CACHED_NSE_ALL
AMBICAAGAR.NS,Ambica Agarbathies & Aroma industries Limited,EQ,CACHED_NSE_ALL
AMBIKCO.NS,Ambika Cotton Mills Limited,EQ,CACHED_NSE_ALL
AMBUJACEM.NS,Ambuja Cements Limited,EQ,CACHED_NSE_ALL
AMDIND.NS,AMD Industries Limited,EQ,CACHED_NSE_ALL
AMIRCHAND.NS,Amir Chand Jagdish Kumar (Exports) Limited,EQ,CACHED_NSE_ALL
AMJLAND.NS,Amj Land Holdings Limited,EQ,CACHED_NSE_ALL
AMNPLST.NS,Amines & Plasticizers Limited,EQ,CACHED_NSE_ALL
AMRUTANJAN.NS,Amrutanjan Health Care Limited,EQ,CACHED_NSE_ALL
ANANDRATHI.NS,Anand Rathi Wealth Limited,EQ,CACHED_NSE_ALL
ANANTRAJ.NS,Anant Raj Limited,EQ,CACHED_NSE_ALL
ANDHRAPAP.NS,ANDHRA PAPER LIMITED,EQ,CACHED_NSE_ALL
ANDHRSUGAR.NS,The Andhra Sugars Limited,EQ,CACHED_NSE_ALL
ANGELONE.NS,Angel One Limited,EQ,CACHED_NSE_ALL
ANIKINDS.NS,Anik Industries Limited,BE,CACHED_NSE_ALL
ANKITMETAL.NS,Ankit Metal & Power Limited,BZ,CACHED_NSE_ALL
ANMOL.NS,Anmol India Limited,EQ,CACHED_NSE_ALL
ANSALAPI.NS,Ansal Properties & Infrastructure Limited,BZ,CACHED_NSE_ALL
ANTELOPUS.NS,Antelopus Selan Energy Limited,EQ,CACHED_NSE_ALL
ANTGRAPHIC.NS,Antarctica Limited,EQ,CACHED_NSE_ALL
ANTHEM.NS,Anthem Biosciences Limited,EQ,CACHED_NSE_ALL
ANUHPHR.NS,Anuh Pharma Limited,EQ,CACHED_NSE_ALL
ANUP.NS,The Anup Engineering Limited,EQ,CACHED_NSE_ALL
ANURAS.NS,Anupam Rasayan India Limited,EQ,CACHED_NSE_ALL
APARINDS.NS,Apar Industries Limited,EQ,CACHED_NSE_ALL
APCL.NS,Anjani Portland Cement Limited,EQ,CACHED_NSE_ALL
APCOTEXIND.NS,Apcotex Industries Limited,EQ,CACHED_NSE_ALL
APEX.NS,Apex Frozen Foods Limited,EQ,CACHED_NSE_ALL
APLAPOLLO.NS,APL Apollo Tubes Limited,EQ,CACHED_NSE_ALL
APLLTD.NS,Alembic Pharmaceuticals Limited,EQ,CACHED_NSE_ALL
APOLLO.NS,Apollo Micro Systems Limited,EQ,CACHED_NSE_ALL
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,EQ,CACHED_NSE_ALL
APOLLOPIPE.NS,Apollo Pipes Limited,EQ,CACHED_NSE_ALL
APOLLOTYRE.NS,Apollo Tyres Limited,EQ,CACHED_NSE_ALL
APOLSINHOT.NS,Apollo Sindoori Hotels Limited,EQ,CACHED_NSE_ALL
APTECHT.NS,Aptech Limited,BE,CACHED_NSE_ALL
APTUS.NS,Aptus Value Housing Finance India Limited,EQ,CACHED_NSE_ALL
AQYLON.NS,Aqylon Nexus Limited,EQ,CACHED_NSE_ALL
ARCHIDPLY.NS,Archidply Industries Limited,EQ,CACHED_NSE_ALL
ARCHIES.NS,Archies Limited,EQ,CACHED_NSE_ALL
ARE-M.NS,Amara Raja Energy & Mobility Limited,EQ,CACHED_NSE_ALL
ARENTERP.NS,Rajdarshan Industries Limited,EQ,CACHED_NSE_ALL
ARFIN.NS,Arfin India Limited,EQ,CACHED_NSE_ALL
ARIES.NS,Aries Agro Limited,EQ,CACHED_NSE_ALL
ARIHANT.NS,Arihant Foundations & Housing Limited,EQ,CACHED_NSE_ALL
ARIHANTCAP.NS,Arihant Capital Markets Limited,EQ,CACHED_NSE_ALL
ARIHANTSUP.NS,Arihant Superstructures Limited,EQ,CACHED_NSE_ALL
ARIS.NS,Arisinfra Solutions Limited,EQ,CACHED_NSE_ALL
ARKADE.NS,Arkade Developers Limited,EQ,CACHED_NSE_ALL
ARMANFIN.NS,Arman Financial Services Limited,EQ,CACHED_NSE_ALL
AROGRANITE.NS,Aro Granite Industries Limited,EQ,CACHED_NSE_ALL
ARROWGREEN.NS,Arrow Greentech Limited,BE,CACHED_NSE_ALL
ARSHIYA.NS,Arshiya Limited,BZ,CACHED_NSE_ALL
ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited,EQ,CACHED_NSE_ALL
ARTEMISMED.NS,Artemis Medicare Services Limited,EQ,CACHED_NSE_ALL
ARTNIRMAN.NS,Art Nirman Limited,EQ,CACHED_NSE_ALL
ARVEE.NS,Arvee Laboratories (India) Limited,EQ,CACHED_NSE_ALL
ARVIND.NS,Arvind Limited,EQ,CACHED_NSE_ALL
ARVINDFASN.NS,Arvind Fashions Limited,EQ,CACHED_NSE_ALL
ARVSMART.NS,Arvind SmartSpaces Limited,EQ,CACHED_NSE_ALL
ASAHIINDIA.NS,Asahi India Glass Limited,EQ,CACHED_NSE_ALL
ASAHISONG.NS,Asahi Songwon Colors Limited,EQ,CACHED_NSE_ALL
ASAL.NS,Automotive Stampings and Assemblies Limited,EQ,CACHED_NSE_ALL
ASALCBR.NS,Associated Alcohols & Breweries Ltd.,EQ,CACHED_NSE_ALL
ASHAPURMIN.NS,Ashapura Minechem Limited,EQ,CACHED_NSE_ALL
ASHIANA.NS,Ashiana Housing Limited,EQ,CACHED_NSE_ALL
ASHIKA.NS,Ashika Credit Capital Limited,EQ,CACHED_NSE_ALL
ASHIMASYN.NS,Ashima Limited,EQ,CACHED_NSE_ALL
ASHOKA.NS,Ashoka Buildcon Limited,EQ,CACHED_NSE_ALL
ASHOKAMET.NS,Ashoka Metcast Limited,EQ,CACHED_NSE_ALL
ASHOKLEY.NS,Ashok Leyland Limited,EQ,CACHED_NSE_ALL
ASIANENE.NS,Asian Energy Services Limited,EQ,CACHED_NSE_ALL
ASIANHOTNR.NS,Asian Hotels (North) Limited,EQ,CACHED_NSE_ALL
ASIANPAINT.NS,Asian Paints Limited,EQ,CACHED_NSE_ALL
ASIANTILES.NS,Asian Granito India Limited,EQ,CACHED_NSE_ALL
ASKAUTOLTD.NS,ASK Automotive Limited,EQ,CACHED_NSE_ALL
ASMS.NS,Avio Smart Market Stack Limited,BE,CACHED_NSE_ALL
ASPINWALL.NS,Aspinwall and Company Limited,EQ,CACHED_NSE_ALL
ASTAR.NS,Asian Star Company Limited,EQ,CACHED_NSE_ALL
ASTEC.NS,Astec LifeSciences Limited,EQ,CACHED_NSE_ALL
ASTERDM.NS,Aster DM Healthcare Limited,EQ,CACHED_NSE_ALL
ASTRAL.NS,Astral Limited,EQ,CACHED_NSE_ALL
ASTRAMICRO.NS,Astra Microwave Products Limited,EQ,CACHED_NSE_ALL
ASTRAZEN.NS,AstraZeneca Pharma India Limited,EQ,CACHED_NSE_ALL
ASTRON.NS,Astron Paper & Board Mill Limited,BE,CACHED_NSE_ALL
ATALREAL.NS,Atal Realtech Limited,EQ,CACHED_NSE_ALL
ATAM.NS,Atam Valves Limited,EQ,CACHED_NSE_ALL
ATGL.NS,Adani Total Gas Limited,EQ,CACHED_NSE_ALL
ATHERENERG.NS,Ather Energy Limited,EQ,CACHED_NSE_ALL
ATL.NS,Allcargo Terminals Limited,EQ,CACHED_NSE_ALL
ATLANTAA.NS,ATLANTAA LIMITED,EQ,CACHED_NSE_ALL
ATLANTAELE.NS,Atlanta Electricals Limited,EQ,CACHED_NSE_ALL
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,EQ,CACHED_NSE_ALL
ATUL.NS,Atul Limited,EQ,CACHED_NSE_ALL
ATULAUTO.NS,Atul Auto Limited,EQ,CACHED_NSE_ALL
AUBANK.NS,AU Small Finance Bank Limited,EQ,CACHED_NSE_ALL
AURIGROW.NS,Auri Grow India Limited,EQ,CACHED_NSE_ALL
AURIONPRO.NS,Aurionpro Solutions Limited,EQ,CACHED_NSE_ALL
AUROPHARMA.NS,Aurobindo Pharma Limited,EQ,CACHED_NSE_ALL
AURUM.NS,Aurum PropTech Limited,EQ,CACHED_NSE_ALL
AUSOMENT.NS,Ausom Enterprise Limited,BE,CACHED_NSE_ALL
AUTOAXLES.NS,Automotive Axles Limited,EQ,CACHED_NSE_ALL
AUTOIND.NS,Autoline Industries Limited,BE,CACHED_NSE_ALL
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,BE,CACHED_NSE_ALL
AVALON.NS,Avalon Technologies Limited,EQ,CACHED_NSE_ALL
AVANTEL.NS,Avantel Limited,EQ,CACHED_NSE_ALL
AVANTIFEED.NS,Avanti Feeds Limited,EQ,CACHED_NSE_ALL
AVG.NS,AVG Logistics Limited,EQ,CACHED_NSE_ALL
AVL.NS,Aditya Vision Limited,EQ,CACHED_NSE_ALL
AVONMORE.NS,Avonmore Capital & Management Services Limited,EQ,CACHED_NSE_ALL
AVROIND.NS,AVRO INDIA LIMITED,EQ,CACHED_NSE_ALL
AVTNPL.NS,AVT Natural Products Limited,EQ,CACHED_NSE_ALL
AWFIS.NS,Awfis Space Solutions Limited,EQ,CACHED_NSE_ALL
AWHCL.NS,Antony Waste Handling Cell Limited,EQ,CACHED_NSE_ALL
AWL.NS,AWL Agri Business Limited,EQ,CACHED_NSE_ALL
AXISBANK.NS,Axis Bank Limited,EQ,CACHED_NSE_ALL
AXISCADES.NS,AXISCADES Technologies Limited,EQ,CACHED_NSE_ALL
AXITA.NS,Axita Cotton Limited,EQ,CACHED_NSE_ALL
AYE.NS,Aye Finance Limited,EQ,CACHED_NSE_ALL
AYMSYNTEX.NS,AYM Syntex Limited,EQ,CACHED_NSE_ALL
AZAD.NS,Azad Engineering Limited,EQ,CACHED_NSE_ALL
BAFNAPH.NS,Bafna Pharmaceuticals Limited,BE,CACHED_NSE_ALL
BAGFILMS.NS,B.A.G Films and Media Limited,EQ,CACHED_NSE_ALL
BAIDFIN.NS,Baid Finserv Limited,EQ,CACHED_NSE_ALL
BAJAJ-AUTO.NS,Bajaj Auto Limited,EQ,CACHED_NSE_ALL
BAJAJCON.NS,Bajaj Consumer Care Limited,EQ,CACHED_NSE_ALL
BAJAJELEC.NS,Bajaj Electricals Limited,EQ,CACHED_NSE_ALL
BAJAJFINSV.NS,Bajaj Finserv Limited,EQ,CACHED_NSE_ALL
BAJAJHCARE.NS,Bajaj Healthcare Limited,EQ,CACHED_NSE_ALL
BAJAJHFL.NS,Bajaj Housing Finance Limited,EQ,CACHED_NSE_ALL
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,EQ,CACHED_NSE_ALL
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,EQ,CACHED_NSE_ALL
BAJAJINDEF.NS,Indef Manufacturing Limited,EQ,CACHED_NSE_ALL
BAJAJST.NS,Bajaj Steel Industries Limited,EQ,CACHED_NSE_ALL
BAJEL.NS,Bajel Projects Limited,EQ,CACHED_NSE_ALL
BAJFINANCE.NS,Bajaj Finance Limited,EQ,CACHED_NSE_ALL
BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited,EQ,CACHED_NSE_ALL
BALAJITELE.NS,Balaji Telefilms Limited,EQ,CACHED_NSE_ALL
BALAMINES.NS,Balaji Amines Limited,EQ,CACHED_NSE_ALL
BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,BE,CACHED_NSE_ALL
BALKRISHNA.NS,Balkrishna Paper Mills Limited,EQ,CACHED_NSE_ALL
BALKRISIND.NS,Balkrishna Industries Limited,EQ,CACHED_NSE_ALL
BALMLAWRIE.NS,Balmer Lawrie & Company Limited,EQ,CACHED_NSE_ALL
BALPHARMA.NS,Bal Pharma Limited,EQ,CACHED_NSE_ALL
BALRAMCHIN.NS,Balrampur Chini Mills Limited,EQ,CACHED_NSE_ALL
BALUFORGE.NS,Balu Forge Industries Limited,EQ,CACHED_NSE_ALL
BANARBEADS.NS,Banaras Beads Limited,EQ,CACHED_NSE_ALL
BANARISUG.NS,Bannari Amman Sugars Limited,EQ,CACHED_NSE_ALL
BANCOINDIA.NS,Banco Products (I) Limited,EQ,CACHED_NSE_ALL
BANDHANBNK.NS,Bandhan Bank Limited,EQ,CACHED_NSE_ALL
BANG.NS,Bang Overseas Limited,EQ,CACHED_NSE_ALL
BANKA.NS,Banka BioLoo Limited,BE,CACHED_NSE_ALL
BANKBARODA.NS,Bank of Baroda,EQ,CACHED_NSE_ALL
BANKINDIA.NS,Bank of India,EQ,CACHED_NSE_ALL
BANSALWIRE.NS,Bansal Wire Industries Limited,EQ,CACHED_NSE_ALL
BANSWRAS.NS,Banswara Syntex Limited,EQ,CACHED_NSE_ALL
BASF.NS,BASF India Limited,EQ,CACHED_NSE_ALL
BASML.NS,Bannari Amman Spinning Mills Limited,EQ,CACHED_NSE_ALL
BATAINDIA.NS,Bata India Limited,EQ,CACHED_NSE_ALL
BATLIBOI.NS,Batliboi Limited,EQ,CACHED_NSE_ALL
BAYERCROP.NS,Bayer Cropscience Limited,EQ,CACHED_NSE_ALL
BBL.NS,Bharat Bijlee Limited,EQ,CACHED_NSE_ALL
BBOX.NS,Black Box Limited,EQ,CACHED_NSE_ALL
BBTC.NS,The Bombay Burmah Trading Corporation Limited,EQ,CACHED_NSE_ALL
BBTCL.NS,B&B Triplewall Containers Limited,EQ,CACHED_NSE_ALL
BCG.NS,Brightcom Group Limited,EQ,CACHED_NSE_ALL
BCLIND.NS,Bcl Industries Limited,EQ,CACHED_NSE_ALL
BCONCEPTS.NS,Brand Concepts Limited,EQ,CACHED_NSE_ALL
BCPL.NS,BCPL Railway Infrastructure Limited,EQ,CACHED_NSE_ALL
BDL.NS,Bharat Dynamics Limited,EQ,CACHED_NSE_ALL
BEARDSELL.NS,Beardsell Limited,EQ,CACHED_NSE_ALL
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,EQ,CACHED_NSE_ALL
BEDMUTHA.NS,Bedmutha Industries Limited,EQ,CACHED_NSE_ALL
BEEKAY.NS,Beekay Steel Industries Limited,EQ,CACHED_NSE_ALL
BEL.NS,Bharat Electronics Limited,EQ,CACHED_NSE_ALL
BELLACASA.NS,Bella Casa Fashion & Retail Limited,EQ,CACHED_NSE_ALL
BELRISE.NS,Belrise Industries Limited,EQ,CACHED_NSE_ALL
BEML.NS,BEML Limited,EQ,CACHED_NSE_ALL
BENGALASM.NS,Bengal & Assam Company Limited,EQ,CACHED_NSE_ALL
BEPL.NS,Bhansali Engineering Polymers Limited,EQ,CACHED_NSE_ALL
BERGEPAINT.NS,Berger Paints (I) Limited,EQ,CACHED_NSE_ALL
BESTAGRO.NS,Best Agrolife Limited,EQ,CACHED_NSE_ALL
BETA.NS,Beta Drugs Limited,EQ,CACHED_NSE_ALL
BFINVEST.NS,BF Investment Limited,EQ,CACHED_NSE_ALL
BFUTILITIE.NS,BF Utilities Limited,EQ,CACHED_NSE_ALL
BGRENERGY.NS,BGR Energy Systems Limited,BE,CACHED_NSE_ALL
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,EQ,CACHED_NSE_ALL
BHAGERIA.NS,Bhageria Industries Limited,BE,CACHED_NSE_ALL
BHAGYANGR.NS,Bhagyanagar India Limited,BE,CACHED_NSE_ALL
BHANDARI.NS,Bhandari Hosiery Exports Limited,BE,CACHED_NSE_ALL
BHARATCOAL.NS,Bharat Coking Coal Limited,EQ,CACHED_NSE_ALL
BHARATFORG.NS,Bharat Forge Limited,EQ,CACHED_NSE_ALL
BHARATGEAR.NS,Bharat Gears Limited,EQ,CACHED_NSE_ALL
BHARATRAS.NS,Bharat Rasayan Limited,EQ,CACHED_NSE_ALL
BHARATSE.NS,Bharat Seats Limited,EQ,CACHED_NSE_ALL
BHARATWIRE.NS,Bharat Wire Ropes Limited,EQ,CACHED_NSE_ALL
BHARTIARTL.NS,Bharti Airtel Limited,EQ,CACHED_NSE_ALL
BHARTIHEXA.NS,Bharti Hexacom Limited,EQ,CACHED_NSE_ALL
BHEL.NS,Bharat Heavy Electricals Limited,EQ,CACHED_NSE_ALL
BI.NS,Bilcare Limited,EQ,CACHED_NSE_ALL
BIGBLOC.NS,Bigbloc Construction Limited,EQ,CACHED_NSE_ALL
BIKAJI.NS,Bikaji Foods International Limited,EQ,CACHED_NSE_ALL
BIL.NS,Bhartiya International Limited,EQ,CACHED_NSE_ALL
BILVYAPAR.NS,BIL VYAPAR LIMITED,BE,CACHED_NSE_ALL
BIMETAL.NS,Bimetal Bearings Limited,EQ,CACHED_NSE_ALL
BIOCON.NS,Biocon Limited,EQ,CACHED_NSE_ALL
BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,EQ,CACHED_NSE_ALL
BIRLACABLE.NS,Birla Cable Limited,BE,CACHED_NSE_ALL
BIRLACORPN.NS,Birla Corporation Limited,EQ,CACHED_NSE_ALL
BIRLAMONEY.NS,Aditya Birla Money Limited,EQ,CACHED_NSE_ALL
BIRLANU.NS,BirlaNu Limited,EQ,CACHED_NSE_ALL
BIRLAPREC.NS,Birla Precision Technologies Limited,EQ,CACHED_NSE_ALL
BLACKBUCK.NS,BLACKBUCK LIMITED,EQ,CACHED_NSE_ALL
BLACKROSE.NS,Black Rose Inds. Limited,EQ,CACHED_NSE_ALL
BLAL.NS,BEML Land Assets Limited,EQ,CACHED_NSE_ALL
BLBLIMITED.NS,BLB Limited,EQ,CACHED_NSE_ALL
BLIL.NS,Balmer Lawrie Investments Limited,EQ,CACHED_NSE_ALL
BLISSGVS.NS,Bliss GVS Pharma Limited,EQ,CACHED_NSE_ALL
BLKASHYAP.NS,B. L. Kashyap and Sons Limited,EQ,CACHED_NSE_ALL
BLS.NS,BLS International Services Limited,EQ,CACHED_NSE_ALL
BLSE.NS,BLS E-Services Limited,EQ,CACHED_NSE_ALL
BLUECOAST.NS,Blue Coast Hotels Limited,BE,CACHED_NSE_ALL
BLUEDART.NS,Blue Dart Express Limited,EQ,CACHED_NSE_ALL
BLUEJET.NS,Blue Jet Healthcare Limited,EQ,CACHED_NSE_ALL
BLUESTARCO.NS,Blue Star Limited,EQ,CACHED_NSE_ALL
BLUESTONE.NS,BlueStone Jewellery and Lifestyle Limited,EQ,CACHED_NSE_ALL
